Key,koreana
meleeToolAxeT2SteelAxe,"강철 도끼"
meleeToolAxeT2SteelAxeDesc,"나무에 [decea3]+300%[-] 추가 데미지를 줍니다."
meleeToolAxeT3Chainsaw,"전기톱"
meleeToolAxeT3ChainsawDesc,"나무에 [decea3]+300%[-] 추가 데미지를 줍니다."
meleeToolFlashlight02,"손전등"
meleeToolFlashlight02Desc,"광원으로 사용할 수 있습니다."
meleeToolHuntingKnife,"사냥용 단검"
meleeToolHuntingKnifeDesc,"나무를 잘라 [decea3]송진[-]을 얻는 데 유용하며, 선인장을 잘라 [decea3]유카[-]를 얻는데 좋습니다. 동물 내장을 제거하는데도 유용합니다."
meleeToolMachete,"철 마체테"
meleeToolMacheteDesc,"나무를 잘라 [decea3]송진[-]을 얻는 데 유용하며, 선인장을 잘라 [decea3]유카[-]를 얻는데 좋습니다. 동물 내장을 제거하거나 좀비의 팔다리를 절단하는데도 유용합니다."
meleeToolPickT1IronPickaxe,"철 곡괭이"
meleeToolPickT1IronPickaxeDesc,"광석과 아스팔트에 [decea3]+100%[-] 추가 데미지를 줍니다. 돌을 부수거나 광물을 채굴하는데 좋습니다."
meleeToolPickT2SteelPickaxe,"강철 곡괭이"
meleeToolPickT2SteelPickaxeDesc,"광석과 아스팔트에 [decea3]+100%[-] 추가 데미지를 줍니다. 돌을 부수거나 광물을 채굴하는데 훌륭한 도구입니다."
meleeToolPickT3Auger,"나사송곳"
meleeToolPickT3AugerDesc,"토사와 아스팔트에 [decea3]+120%[-] 추가 데미지를 줍니다."
meleeToolRepairT1ClawHammer,"클로 해머"
meleeToolRepairT1ClawHammerDesc,"좋은 블록 수리와 강화용 도구입니다. 무기로도 사용할 수 있습니다."
meleeToolRepairT3Nailgun,"네일 건"
meleeToolRepairT3NailgunDesc,"최고의 블록 수리와 강화용 도구입니다. 무기로도 사용할 수 있습니다."
meleeToolRepairT0StoneAxe,"돌 도끼"
meleeToolRepairT0StoneAxeDesc,"나무에 [decea3]+200%[-] 추가 데미지를 줍니다. 훌륭한 무기는 아니지만 벌목에는 유용합니다."
meleeToolRepairT0TazasStoneAxe,"타자의 돌 도끼"
meleeToolRepairT0TazasStoneAxeDesc,"나무에 [decea3]+200%[-] 추가 데미지를 줍니다. 이 아파치 유물을 휘두른 자들은 전투에서 무적이었다고 전해져 내려옵니다."
meleeToolSalvageT1Wrench,"렌치"
meleeToolSalvageT1WrenchDesc,"자동차, 에어컨 등과 같은 기계 장치를 분해하는 도구입니다. 자동차를 수리할 수도 있습니다."
meleeToolSalvageT2Ratchet,"레칫"
meleeToolSalvageT2RatchetDesc,"자동차, 에어컨 등과 같은 기계 장치를 분해하는 도구입니다. 자동차를 수리할 수도 있습니다."
meleeToolSalvageT3ImpactDriver,"전동 드릴"
meleeToolSalvageT3ImpactDriverDesc,"자동차, 에어컨 등과 같은 기계 장치를 분해하는 도구입니다. 자동차를 수리할 수도 있습니다."
meleeToolShovelIron,"철 삽"
meleeToolShovelIronDesc,"흙, 모래, 눈을 파내기에 적합한 도구입니다."
meleeToolShovelSteel,"강철 삽"
meleeToolShovelSteelDesc,"흙, 모래, 눈을 파내기에 적합한 도구입니다."
meleeToolShovelT0StoneShovel,"돌 삽"
meleeToolShovelT0StoneShovelDesc,"원시적인 발굴 도구입니다. 흙, 모래, 눈을 모으는데 쓸만하지만 더 좋은 도구가 없는 경우에나 사용됩니다."
meleeToolShovelT1IronShovel,"철 삽"
meleeToolShovelT1IronShovelDesc,"흙, 모래, 눈을 파내기에 적합한 도구입니다."
meleeToolShovelT2SteelShovel,"강철 삽"
meleeToolShovelT2SteelShovelDesc,"흙, 모래, 눈을 파내기에는 최고의 도구입니다."
meleeToolTorch,"횃불"
meleeToolTorchDesc,"광원으로 사용할 수 있습니다. 적에게 불을 붙일 수도 있습니다."
meleeWpnBatonT2StunBaton,"전기 호신봉"
meleeWpnBatonT2StunBatonDesc,"원시적이지만 강력한 무력과 기술력의 조합입니다."
meleeWpnBladeT0BoneKnife,"뼈 칼"
meleeWpnBladeT0BoneKnifeDesc,"동물 내장을 제거하는데 유용합니다. 공격 시 적에게 출혈을 일으킬 수 있습니다."
meleeWpnBladeT1HuntingKnife,"사냥용 단검"
meleeWpnBladeT1HuntingKnifeDesc,"동물 내장을 제거하는데 유용합니다. 공격 시 적에게 출혈을 일으킬 수 있습니다."
meleeWpnBladeT1CandyKnife,"사탕 칼"
meleeWpnBladeT1CandyKnifeDesc,"축제 분위기에 휩싸인 공격을 해보십시오!"
meleeWpnBladeT3Machete,"고철 마체테"
meleeWpnBladeT3MacheteDesc,"동물 내장을 제거하는데 유용합니다. 공격 시 적에게 출혈을 일으킬 수 있습니다."
meleeWpnClubT0WoodenClub,"목재 곤봉"
meleeWpnClubT0WoodenClubDesc,"무릎과 두개골을 박살내는 데 좋은 원시 무기입니다."
meleeWpnClubT1BaseballBat,"야구 방망이"
meleeWpnClubT1BaseballBatDesc,"원시 무기보다는 조금 더 강력한 힘으로 무릎과 두개골을 박살냅니다."
meleeWpnClubT1CandyClub,"사탕 막대 곤봉"
meleeWpnClubT1CandyClubDesc,"축제 분위기에서 적을 물리치십시오!"
meleeWpnClubT3SteelClub,"강철 곤봉"
meleeWpnClubT3SteelClubDesc,"무릎과 두개골을 부러뜨리는 데에는 충분한 내구성과 강력한 타격을 할 수 있는 곤봉입니다."
meleeWpnKnucklesT0LeatherKnuckles,"가죽 너클"
meleeWpnKnucklesT0LeatherKnucklesDesc,"손을 보호함과 동시에 주먹을 강하게 만듭니다."
meleeWpnKnucklesT1IronKnuckles,"철 너클"
meleeWpnKnucklesT1IronKnucklesDesc,"손을 보호함과 동시에 주먹을 강하게 만듭니다."
meleeWpnKnucklesT3SteelKnuckles,"강철 너클"
meleeWpnKnucklesT3SteelKnucklesDesc,"손을 보호함과 동시에 주먹을 강하게 만듭니다. 동물 내장을 제거하는 데도 유용합니다."
meleeWpnSledgeT0StoneSledgehammer,"돌 슬레지 해머"
meleeWpnSledgeT0StoneSledgehammerDesc,"골통을 부수기에는 최고의 무기 중 하나입니다."
meleeWpnSledgeT1IronSledgehammer,"철 슬레지 해머"
meleeWpnSledgeT1IronSledgehammerDesc,"골통을 부수기에는 최고의 무기 중 하나입니다."
meleeWpnSledgeT3SteelSledgehammer,"강철 슬레지 해머"
meleeWpnSledgeT3SteelSledgehammerDesc,"골통을 부수기에는 최고의 무기 중 하나입니다."
meleeWpnSpearT0StoneSpear,"돌 창"
meleeWpnSpearT0StoneSpearDesc,"근접 무기로 사용하거나, 투척하여 원거리 무기로도 사용할 수 있습니다."
meleeWpnSpearT1IronSpear,"철 창"
meleeWpnSpearT1IronSpearDesc,"근접 무기로 사용하거나, 투척하여 원거리 무기로도 사용할 수 있습니다."
meleeWpnSpearT3SteelSpear,"강철 창"
meleeWpnSpearT3SteelSpearDesc,"근접 무기로 사용하거나, 투척하여 원거리 무기로도 사용할 수 있습니다."
resourceBrassObjectGroupDesc,"배낭이나 작업대에서 [decea3]황동 조각[-]으로 분해할 수 있습니다."
resourceBrokenGlass,"유리 조각"
resourceBrokenGlassDesc,"용광로에서 유리로 제련할 수 있습니다. 종말의 세계를 감당하지 못하겠으면 사용하여 모든 것을 끝낼 수도 있습니다."
resourceBulletCasing,"탄피"
resourceBulletCasingDesc,"투사체 기반 화기에 사용되는 황동 탄피입니다. 탄약의 모든 부분을 고정합니다."
resourceBulletTip,"탄두"
resourceBulletTipDesc,"투사체 기반 화기에 사용되는 탄두입니다. 녹인 납으로 주조한 총탄의 발사체라고도 부릅니다."
resourceClayLump,"점토"
resourceClayLumpDesc,"용광로 작업의 필수 재료입니다. 땅에서 토양과 함께 조금 파낸 것입니다. 흙과 물을 섞어 만들 수도 있습니다."
resourceCobblestones,"조약돌"
resourceCobblestonesDesc,"조약돌은 놀랍도록 튼튼한 석조 구조물을 만드는 데 사용할 수 있습니다."
resourceFeather,"깃털"
resourceFeatherDesc,"깃털은 새 둥지나 닭에게서 주로 얻을 수 있습니다. 화살이나 석궁 볼트를 제작하는 데 쓰입니다."
resourceFemur,"큰 뼈"
resourceFemurDesc,"갈아서 [decea3]뼛가루[-]를 얻을 수 있습니다. [decea3]뼛가루[-]는 [decea3]풀[-]을 만드는 데 쓰입니다."
resourceFishingWeight,"낚시 추"
resourceFishingWeightDesc,"납 제품은 배낭에서 납 조각으로 분해할 수 있으며 용광로에서 제련할 수 있습니다."
resourceForgedIron,"철 판"
resourceForgedIronDesc,"철 주괴를 성형하여 평평한 단조 철 조각을 형성합니다. 조합, 수리, 강화 등 다양한 곳에 사용됩니다."
resourceForgedSteel,"강철 판"
resourceForgedSteelDesc,"강철 주괴를 성형하여 평평한 단조 강철 조각을 형성합니다. 가장 강력한 아이템들을 제작하는 곳에 사용됩니다."
resourceGoldNugget,"금 덩어리"
resourceGoldNuggetDesc,"번쩍번쩍 빛나는 밀도 높은 덩어리입니다. 주괴로 만들면 더 가치 있게 될 것입니다."
resourceGunPowder,"화약"
resourceGunPowderDesc,"석탄, 질산염 및 유황으로 만든 화약을 사용하여 자신만의 탄약과 폭발물을 만들 수 있습니다."
resourceLockPick,"락픽"
resourceLockPickDesc,"인벤토리에 락픽을 가지고 있으면 E키를 누른 상태로 자물쇠 따기를 시도할 수 있습니다.\n도구 벨트 위에 장착되어 있지 않아도 됩니다."
resourceMetalPipe,"쇠 파이프"
resourceMetalPipeDesc,"평범하고 짧은 쇠 파이프입니다. 다양한 조합에 사용할 수 있습니다."
resourceRadiator,"황동 라디에이터"
resourceRadiatorDesc,"배낭이나 작업대에서 분해하여 [decea3]황동 조각[-]을 얻을 수 있습니다."
resourceRawDiamond,"다이아몬드 원석"
resourceRawDiamondDesc,"종말이 시작되기 전에 이 다이아몬드를 찾았더라면.. 이거 블러드 다이아몬드일까?"
resourceRocketCasing,"로켓 탄피"
resourceRocketCasingDesc,"로켓 런쳐 탄 제작에 사용됩니다."
resourceRocketTip,"로켓 퓨즈"
resourceRocketTipDesc,"로켓 런쳐 탄 제작에 사용됩니다."
resourceScrapBrass,"황동 조각"
resourceScrapBrassDesc,"탄피 제작의 핵심 재료입니다."
resourceScrapIron,"고철 조각"
resourceScrapIronDesc,"제작, 주조, 수리 및 강화의 주 재료입니다. 나무 다음으로 이것보다 유용한 재료는 없습니다."
resourceScrapLead,"납 조각"
resourceScrapLeadDesc,"탄두 외에 여러 물건을 제작할 수 있는 주 재료입니다."
resourceScrapPolymers,"플라스틱 조각"
resourceScrapPolymersDesc,"새로운 모양으로 만들 수 있는 아무렇게나 조각난 플라스틱 조각입니다."
resourceSilverNugget,"은 덩어리"
resourceSilverNuggetDesc,"아마 이걸 보관해야 할지도 몰라. 이미 세계도 멸망했는데 늑대인간이 없으리란 법이 어딨어?"
resourceTrophy1,"황동 트로피"
resourceTrophy1Desc,"분해하거나 [decea3]용광로[-]에서 녹이면 더 유용하게 쓸 수 있을 것입니다."
resourceTrophy2,"납 트로피"
resourceTrophy2Desc,"납 제품은 배낭에서 납 조각으로 분해할 수 있으며 [decea3]용광로[-]에서 제련할 수 있습니다."
resourceWood,"오래된 목재 더미"
resourceWoodDesc,"별로 쓰일 일이 없는 오래된 목재입니다."
smallEngine,"컴팩트 엔진"
smallEngineDesc,"작은 차량이나 도구에 사용되는 컴팩트 엔진입니다."
toolBeaker,"비커"
toolBeakerDesc,"화학 작업대를 만들기 위한 도구입니다."
toolBellows,"풀무"
toolBellowsDesc,"용광로의 공기 순환을 도와 제작 속도를 [decea3]25%[-] 향상시킵니다."
toolBellowsSchematic,"풀무 도면"
toolBellowsSchematicDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
resourceYuccaFibers,"식물 섬유"
resourceYuccaFibersDesc,"식물 섬유는 풀이나 작은 식물을 부숴서 얻을 수 있습니다. 여러 물건을 제작하는 데 사용하거나 보조 동작 키를 이용하여 땅에 심을 수도 있습니다."
thrownDynamite,"다이너마이트"
thrownDynamiteDesc,"보조 동작 키로 불을 붙이고 주 동작 키로 투척할 수 있습니다. 던질 때가 가장 중요합니다."
toolAnvil,"모루"
toolAnvilDesc,"고급 금속을 만들 수 있는 대장장이의 대장간 (티어 2)를 제작하는 데 필요합니다."
toolForgeCrucible,"도가니"
toolForgeCrucibleDesc,"금, 은, 강철, 티타늄을 가공할 수 있는 [decea3]용광로 (티어 2)[-]를 제작하는 데 필요합니다."
oldCash,"오래된 지폐"
oldCashDesc,"오래 전의 법정 화폐이지만 지금은 휴지의 대체품일 뿐입니다. 몇몇 상인들은 아직 이 종이에 관심을 보일지도 모릅니다."
vehicle4x4TruckPlaceable,"4x4 레인저 트럭"
vehicle4x4TruckPlaceableDesc,"운전 가능한 탈 것입니다. 보조 동작 키를 이용하여 배치할 수 있습니다."
vehicleBicyclePlaceable,"산악 자전거"
vehicleBicyclePlaceableDesc,"운전 가능한 탈 것입니다. 보조 동작 키를 이용하여 배치할 수 있습니다."
vehicleGyrocopterPlaceable,"스카웃 헬기"
vehicleGyrocopterPlaceableDesc,"운전 가능한 탈 것입니다. 보조 동작 키를 이용하여 배치할 수 있습니다."
vehicleMinibikePlaceable,"코멧 미니바이크"
vehicleMinibikePlaceableDesc,"운전 가능한 탈 것입니다. 보조 동작 키를 이용하여 배치할 수 있습니다."
vehicleMotorcyclePlaceable,"방랑자의 오토바이"
vehicleMotorcyclePlaceableDesc,"운전 가능한 탈 것입니다. 보조 동작 키를 이용하여 배치할 수 있습니다."
mineCookingPotBlueprint,"요리 냄비 지뢰 도면"
mineCookingPotBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
rScrapIronPlateMineBlueprint,"압력판 지뢰 도면"
rScrapIronPlateMineBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
mineHubcapBlueprint,"휠캡 지뢰 도면"
mineHubcapBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
thrownTimedChargeBlueprint,"시한 폭탄 도면"
thrownTimedChargeBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
mineAirFilterBlueprint,"공기 필터형 지뢰 도면"
mineAirFilterBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
resourceLockPickBlueprint,"락픽 도면"
resourceLockPickBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorIronHelmetBlueprint,"철제 투구 도면"
armorIronHelmetBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorIronChestBlueprint,"철제 가슴 갑옷 도면"
armorIronChestBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorIronGlovesBlueprint,"철제 장갑 도면"
armorIronGlovesBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorIronLegsBlueprint,"철 다리 갑옷 도면"
armorIronLegsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorIronBootsBlueprint,"철제 부츠 도면"
armorIronBootsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorSteelHelmetBlueprint,"강철 투구 도면"
armorSteelHelmetBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorSteelChestBlueprint,"강철 가슴 갑옷 도면"
armorSteelChestBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorSteelGlovesBlueprint,"강철 장갑 도면"
armorSteelGlovesBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorSteelLegsBlueprint,"강철 다리 갑옷 도면"
armorSteelLegsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorSteelBootsBlueprint,"강철 부츠 도면"
armorSteelBootsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorLeatherHelmetBlueprint,"가죽 후드 도면"
armorLeatherHelmetBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorLeatherChestBlueprint,"가죽 가슴 갑옷 도면"
armorLeatherChestBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorLeatherGlovesBlueprint,"가죽 장갑 도면"
armorLeatherGlovesBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorLeatherLegsBlueprint,"가죽 다리 갑옷 도면"
armorLeatherLegsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorLeatherBootsBlueprint,"가죽 부츠 도면"
armorLeatherBootsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMilitaryHelmetBlueprint,"군모 도면"
armorMilitaryHelmetBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMilitaryChestBlueprint,"군용 조끼 도면"
armorMilitaryChestBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMilitaryGlovesBlueprint,"군용 장갑 도면"
armorMilitaryGlovesBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMilitaryLegsBlueprint,"군용 다리 갑옷 도면"
armorMilitaryLegsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMilitaryBootsBlueprint,"군화 도면"
armorMilitaryBootsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolRepairT1ClawHammerBlueprint,"클로 해머 도면"
meleeToolRepairT1ClawHammerBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolAxeT1IronFireaxeBlueprint,"철 소방도끼 도면"
meleeToolAxeT1IronFireaxeBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolPickT1IronPickaxeBlueprint,"철 곡괭이 도면"
meleeToolPickT1IronPickaxeBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolShovelT1IronShovelBlueprint,"철 삽 도면"
meleeToolShovelT1IronShovelBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolAxeT2SteelAxeBlueprint,"강철 도끼 도면"
meleeToolAxeT2SteelAxeBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolPickT2SteelPickaxeBlueprint,"강철 곡괭이 도면"
meleeToolPickT2SteelPickaxeBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeToolShovelT2SteelShovelBlueprint,"강철 삽 도면"
meleeToolShovelT2SteelShovelBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeWpnBladeT3MacheteSchematic,"고철 마체테 도면"
meleeWpnBladeT3MacheteSchematicDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeWpnClubT3SteelClubBlueprint,"강철 곤봉 도면"
meleeWpnClubT3SteelClubBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
meleeWpnSpearT3SteelSpearBlueprint,"강철 창 도면"
meleeWpnSpearT3SteelSpearBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
drugSteroidsBlueprint,"스테로이드 도면"
drugSteroidsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
drugFortBitesBlueprint,"포트 바이트 도면"
drugFortBitesBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
drugRecogBlueprint,"리코그 도면"
drugRecogBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ceilingLight01_playerBlueprint,"기본 전구 도면"
ceilingLight01_playerBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
industrialLight01_playerBlueprint,"산업용 조명 도면"
industrialLight01_playerBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
industrialLight02_playerBlueprint,"산업용 전구 도면"
industrialLight02_playerBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ceilingLight07_playerBlueprint,"형광등 도면"
ceilingLight07_playerBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
electricwirerelayBlueprint,"전기 와이어 계전기 도면"
electricwirerelayBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
pressureplateLongBlueprint,"트리거 발판 1x5 도면"
pressureplateLongBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
tripwirepostBlueprint,"와이어 함정 도면"
tripwirepostBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
garageDoorMetal_v1PoweredBlueprint,"강철 차고 문 3x2 도면"
garageDoorMetal_v1PoweredBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
vaultDoor03_PoweredBlueprint,"금고 문 03 도면"
vaultDoor03_PoweredBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
vaultHatch_v3_PoweredBlueprint,"금고 해치 v3 도면"
vaultHatch_v3_PoweredBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
garageDoorIndustrial_PoweredBlueprint,"금속 차고 문 5x3 도면"
garageDoorIndustrial_PoweredBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
metalReinforcedWoodDrawBridgePoweredBlueprint,"강화형 도개교 도면"
metalReinforcedWoodDrawBridgePoweredBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
vehicleWheelsBlueprint,"바퀴 도면"
vehicleWheelsBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
carBatteryBlueprint,"납 배터리 도면"
carBatteryBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
armorMiningHelmetBlueprint,"광부 안전모 도면"
armorMiningHelmetBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo10mmRoundHPBlueprint,"10mm 탄약 (HP) 도면"
ulmAmmo10mmRoundHPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo10mmRoundAPBlueprint,"10mm 탄약 (AP) 도면"
ulmAmmo10mmRoundAPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo38CalRoundHPBlueprint,"38 구경 탄약 (HP) 도면"
ulmAmmo38CalRoundHPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo38CalRoundAPBlueprint,"38 구경 탄약 (AP) 도면"
ulmAmmo38CalRoundAPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo556mmRoundHPBlueprint,"5.56mm 탄약 (HP) 도면"
ulmAmmo556mmRoundHPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo556mmRoundAPBlueprint,"5.56mm 탄약 (AP) 도면"
ulmAmmo556mmRoundAPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo792mmRoundHPBlueprint,"7.92mm 탄약 (HP) 도면"
ulmAmmo792mmRoundHPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmAmmo792mmRoundAPBlueprint,"7.92mm 탄약 (AP) 도면"
ulmAmmo792mmRoundAPBlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationArtisan_1Blueprint,"장인의 작업실 도면"
ulmStationArtisan_1BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationArtisan_2Blueprint,"장인의 작업실 (티어 2) 도면"
ulmStationArtisan_2BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationBallistics_1Blueprint,"탄약 제조 작업대 도면"
ulmStationBallistics_1BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationBallistics_2Blueprint,"탄약 제조 작업대 (티어 2) 도면"
ulmStationBallistics_2BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationCarpenter_2Blueprint,"목수의 작업대 (티어 2) 도면"
ulmStationCarpenter_2BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationCarpenter_3Blueprint,"목수의 작업대 (티어 3) 도면"
ulmStationCarpenter_3BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationForge_1Blueprint,"대장장이의 대장간 도면"
ulmStationForge_1BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationForge_2Blueprint,"대장장이의 대장간 (티어 2) 도면"
ulmStationForge_2BlueprintDesc,"새로운 제작 도면을 배울 수 있습니다. 이미 알고 있는 경우 사용 시 XP를 제공합니다."
ulmStationFurnace_2Blueprint,"용광로 (티어 2) 도면"
