Key,german
scavengeFuelTip_title,"UL / Benzin sammeln"
scavengeFuelTip,"Es wird noch eine Weile dauern, bis du dein eigenes [decea3]Benzin[-] herstellen kannst, daher ist eine alternative Möglichkeit, [decea3]Benzin[-] zu tanken, die Suche nach verschiedenen [decea3]Gaspumpen[-], [decea3]Benzin- oder Ölfässern[-]. Sobald ihr ein solches gefunden habt, könnt ihr damit interagieren, indem ihr einen [decea3]Leeren Benzinkanister oder ein Fass[-] sowie einen teilweise gefüllten [decea3]Benzinkanister oder ein Fass[-] in die Hand nehmt.\n\nDie Menge des gefüllten [decea3]Benzins[-] hängt davon ab, wie viele Ladungen die Quelle hat.\n\nZusätzlich könnt ihr später im Verlauf des Spiels [decea3]Öl-Extraktoren[-] bauen und [decea3]Benzin[-] in Massen produzieren."
searchInventoryTip_title,"UL / Inventar / Suche"
searchInventoryTip,"Im Rucksack-, Lager- oder Fahrzeugspeicher gibt es eine Schaltfläche [decea3]Suche umschalten[-], mit der die Suchfunktion aktiviert werden kann.\n\nDamit können Sie die Gegenstände herausfiltern, die Sie in Ihrem Inventar, Lager oder Fahrzeug finden möchten. Wenn du den Text der Suchanfrage löschst oder erneut auf die Schaltfläche [dea3]Suche umschalten[-] klickst, werden alle Sucheinblendungen gelöscht."
vehicleEncumbranceTip_title,"UL / Fahrzeuge / Belastung"
vehicleEncumbranceTip,"Genau wie du, der Spieler, haben auch Fahrzeuge ihre eigenen Belastungsgrenzen, aber im Gegensatz zum Spieler wird das Fahrzeug, sobald die Grenze erreicht ist, funktionsunfähig und bewegt sich nicht mehr.\n\nDie Fahrzeugbelastung berücksichtigt das Gewicht jedes Passagiers zusätzlich zur eigenen Belastbarkeit des Fahrzeugs.\n\nSobald der Fahrer und alle Passagiere im Fahrzeug sind, kannst du auf der Belastungsanzeige unter dem Tachometer sehen, wie hoch die Fahrzeuglast ist. Wenn das Fahrzeug überlastet ist, leuchtet eine Anzeige neben dem Tacho auf."
abandonedVehicleRepairTip_title,"UL / Fahrzeuge / Reparierbar"
abandonedVehicleRepairTip,"Manchmal stößt man auf ein Fahrzeug, das repariert werden kann. Verschiedene Fahrzeuge erfordern verschiedene Arten von Reparatursätzen:\nFahrrad - Fahrrad-Reparatursatz,\nMinibike - Minibike-Reparatursatz,\nMotorrad - Motorrad-Reparatursatz,\nAutos - Auto-Reparatursatz,\nMilitär-LKW - LKW-Reparatursatz. \n\nUm ein [decea3]Reparierbares[-] Fahrzeug zu reparieren, müsst ihr einen [decea3]Schraubenschlüssel[-], eine [decea3]Knarre[-] oder einen [decea3]Schlagschrauber[-] und einen passenden [decea3]Reparatursatz[-] in eurem Inventar haben, danach nähert ihr euch dem [decea3]Reparierbaren[-] Fahrzeug und haltet die Interaktionstaste (Standard: [decea3]E[-]) gedrückt und wählt im Radialmenü die Option zum Reparieren des Fahrzeugs."
scavengeTitaniumTip_title,"UL / Sammeln von Titan"
scavengeTitaniumTip,"[decea3]Titan[-] ist eine sehr seltene und begehrte Ressource und wird für die Herstellung der fortschrittlichsten Gegenstände verwendet.\n\nEs gibt keine natürlichen [decea3]Titan[-]Vorkommen, die man abbauen kann. Man kann es nur erhalten, indem man es in [decea3]Loot[-] findet oder vom [decea3]Händler[-] kauft, oder einen [decea3]Erz-Extractor[-] verwendet, der eine kleine Chance hat, in jedem Erntezyklus kleine Mengen [decea3]Titan[-] zu gewinnen."
pinRecipeTip_title,"UL / Inventar / Rezept anheften"
pinRecipeTip,"Um den Überblick über die Ressourcen zu behalten, die ihr für die Herstellung bestimmter Gegenstände benötigt, könnt ihr ein Rezept anheften, indem ihr die Aktion 'Gegenstand anheften' im Infobereich 'Handwerk' verwendet. Wenn du einmal auf diese Option klickst, wird das Rezept als Anstecknadel auf der linken Seite des Bildschirms angezeigt, ein weiterer Klick entfernt die Anstecknadel. Ihr könnt auch jede aktive Anstecknadel entfernen, indem ihr auf das 'X'-Symbol auf der Anstecknadelkarte klickt.\n\nEin angeheftetes Rezept verfolgt die Gegenstände in eurem Inventar und aktualisiert die verfügbaren Zutatenmengen live, wenn ihr die benötigten Ressourcen aus eurem Inventar sammelt oder verliert.\n\nNur ein angeheftetes Rezept kann gleichzeitig aktiv sein."
lockInventorySlotsTip_title,"UL / Inventar / Inventarplatz sperren"
lockInventorySlotsTip,"Du kannst einen beliebigen Inventarplatz sperren, indem du mit dem Mauszeiger darüber fährst und dann die Taste [DEA3][L][-] drückst. Gesperrte Inventarplätze werden bei der Sortierung des Inventars nach Gewicht, Preis, Typ oder Name ignoriert und sind auch immun, wenn eine der Schaltflächen zum Übertragen ins Lager gedrückt wird.\n\n Um einen gesperrten Inventarplatz im Inventar zu entsperren, bewegen Sie den Mauszeiger darüber und drücken Sie die Taste [decea3][L][-]. Ihr könnt die Standardtastenbindung auf eine andere einstellen:\n[decea3]Optionen-> Steuerung -> UI -> Inventarplatz sperren[-]"
researchSystemTip_title,"UL / Handwerk / Forschung"
researchSystemTip,"Das Forschungssystem ermöglicht es euch, neue Handwerksrezepte freizuschalten und bessere Gegenstände herzustellen.\n\nUm neue Rezepte zu erforschen, müsst ihr zuerst eine [decea3]Forschungsstation[-] bauen. Dort könnt ihr [decea3]Forschungsdaten[-] zusammen mit anderen benötigten Materialien ausgeben, um neue Rezepte freizuschalten.\n\nUm bessere Gegenstände herzustellen, müsst ihr eine [decea3]Wartungsstation[-] bauen. Dort könnt ihr Gegenstände reparieren und ihre Qualitätsstufe verbessern. Um höherstufige und/oder hochwertige Gegenstände zu verbessern, müssen Sie eine höherstufige [decea3]Wartungsstation[-] benutzen.\n\n[decea3]Forschungsdaten[-] erhalten Sie, indem Sie Schemata, Herausforderungs-Papiere oder Schatzkarten verschrotten. Zusätzliche [decea3]Forschungsdaten[-] können durch das Zerlegen bestimmter Gegenstände in der [decea3]Demontage-Station[-] gewonnen werden."
vehicleFeatureToggleTip_title,"UL / Fahrzeuge / Zusätzliche Funktionen"
vehicleFeatureToggleTip,"Einige Fahrzeuge haben zusätzliche Funktionen die durch die Tasten [decea3][Q][-] oder [decea3][R][-] umgeschaltet werden können. z. B. Oberlicht der Polizei oder Taxi mit [decea3][Q][-] ein- und ausgeschalten und Polizeisirene mit [decea3][R][-] ein- und ausgeschalten. \n\nStandard-Tastenbelegungen in \n[decea3]Optionen -> Steuerung -> Fahrzeug[-] änderbar."
journalNutrition_title,"Ernährung"
journalNutrition,"Sich im Ödland gesund zu ernähren, ist keine leichte Aufgabe. Hier sind einige Punkte, die dir den Einstieg erleichtern sollen:\n\nDu musst die 4 Hauptnährstoffe ausgleichen: Fett, Kohlenhydrate (Carbs), Eiweiß und Vitamine.\n\nDie ersten 3 bestimmen Ihren Gesamtenergiegehalt (Kalorien). Vitamine bestimmen die Stärke Ihres Immunsystems.\n\nSolange der Kaloriengehalt über 0 liegt, sterben Sie nicht, und wenn Sie 0 Vitamine haben, ist das kein Weltuntergang, aber Sie werden anfälliger für Krankheiten.\n\nWenn Sie alle 4 Nährstoffe über 75 % halten, wird Ihr Wohlbefinden passiv gesteigert. Wenn einer der 4 Nährstoffe unter 25% fällt, verlieren Sie Ihr Wohlbefinden. \n\nDas Wohlbefinden kann nicht unter 0 sinken und jeder Wohlfühlpunkt gibt folgende Boni:\n- Erhöht die maximale Gesundheit um 1\n- Erhöht die maximale Ausdauer um 1\n- Erhöht die maximale Belastbarkeit um 1\n- Erhöht den Erfahrungsgewinn um 1%\n\nWenn dein Körper 0 Kalorien hat, dann stirbst du und: \n- Jegliche passive Gesundheitsregeneration wird gestoppt\n- Du verlierst 2 Lebenspunkte pro Minute\n- Die Geschwindigkeit der Ausdauerregeneration verlangsamt sich\n- Die Ausdauerregeneration reduziert die maximal verfügbare Ausdauer\n- Du musst sofort Nahrung zu dir nehmen."
journalTutorialQuest_title,"UL / Einführung"
journalTutorialQuest,"Willkommen in [decea3]Undead Legacy[-]!\n\nDu hast eine [decea3]Tasche[-] in deinem Werkzeuggürtel, die nützliche Startausrüstung enthält. \n\nDer Auftrag [decea3]Einführung[-] wird dich durch die Grundlagen von [decea3]Undead Legacy[-] führen.\n\n[decea3]Wichtig![-]\nSchau in deinem [decea3]Tagebuch[-] nach Einträgen, die mit [decea3]UL[-] beginnen.\nSie erklären dir einige Mechaniken von [decea3]Undead Legacy[-]."
journalTutorialQuestSkipped_title,"UL / Einführung"
journalTutorialQuestSkipped,"Willkommen in [decea3]Undead Legacy[-]!\n\nDu hast eine [decea3]Tasche[-] in deinem Werkzeuggürtel, die nützliche Startausrüstung enthält.\n\n[decea3]Wichtig![-]\nSchau in deinem [decea3]Tagebuch[-] nach Einträgen, die mit [decea3]UL[-] beginnen.\nSie erklären dir einige Mechaniken von [decea3]Undead Legacy[-]."
animalBossGrace,"Mutiertes Riesenschwein"
animalCoyote,"Kojote"
animalDireWolf,"Schreckenswolf"
animalMountainLion,"Berglöwe"
animalSnake,"Schlange"
animalWolf,"Wolf"
animalZombieBear,"Infizierter Bär"
animalZombieVultureRadiated,"Verstrahlter Zombie-Geier"
zombieArlene,"Infiziertes Mädchen"
zombieArleneFeral,"Wildes Mädchen"
zombieArleneRadiated,"Verstrahltes Mädchen"
zombieBiker,"Zombie-Biker"
zombieBikerFeral,"Wilder Zombie-Biker"
zombieBikerRadiated,"Verstrahlter Zombie-Biker"
zombieBoe,"Infizierter Mann"
zombieBoeFeral,"Wilder Mann"
zombieBoeRadiated,"Verstrahlter Mann"
zombieBurnt,"Verbrannter Zombie"
zombieBurntFeral,"Wilder verbrannter Zombie"
zombieBurntRadiated,"Verstrahlter verbrannter Zombie"
zombieBusinessMan,"Infizierter Geschäftsmann"
zombieBusinessManFeral,"Wilder Geschäftsmann"
zombieBusinessManRadiated,"Verstrahlter Geschäftsmann"
zombieDarlene,"Infizierte Frau"
zombieDarleneFeral,"Wilde Frau"
zombieDarleneRadiated,"Verstrahlte Frau"
zombieDemolition,"Zerstörer"
zombieFatCop,"Infizierter Offizier"
zombieFatCopFeral,"Wilder Offizier"
zombieFatCopRadiated,"Verstrahlter Offizier"
zombieFatHawaiian,"Infizierter Tourist"
zombieFatHawaiianFeral,"Wilder Tourist"
zombieFatHawaiianRadiated,"Verstrahlter Tourist"
zombieFemaleFat,"Gefräßiger Zombie"
zombieFemaleFatFeral,"Wilder gefräßiger Zombie"
zombieFemaleFatRadiated,"Verstrahlter gefräßiger Zombie"
zombieJanitor,"Infizierter Hausmeister"
zombieJanitorFeral,"Wilder Hausmeister"
zombieJanitorRadiated,"Verstrahlter Hausmeister"
zombieJoe,"Infizierter Mann"
zombieJoeFeral,"Wilder Mann"
zombieJoeRadiated,"Verstrahlter Mann"
zombieLab,"Infizierter Wissenschaftler"
zombieLabFeral,"Wilder Wissenschaftler"
zombieLabRadiated,"Verstrahlter Wissenschaftler"
zombieMaleHazmat,"Gefahrgut-Zombie"
zombieMaleHazmatFeral,"Wilder Gefahrgut-Zombie"
zombieMaleHazmatRadiated,"Verstrahlter Gefahrgut-Zombie"
zombieMarlene,"Infizierte Frau"
zombieMarleneFeral,"Wilde Frau"
zombieMarleneRadiated,"Verstrahlte Frau"
zombieMoe,"Infizierter Mann"
zombieMoeFeral,"Wilder Mann"
zombieMoeRadiated,"Verstrahlter Mann"
zombieNurse,"Infizierte Krankenschwester"
zombieNurseFeral,"Wilde Krankenschwester"
zombieNurseRadiated,"Verstrahlte Krankenschwester"
zombieScreamer,"Schreihals"
zombieScreamerFeral,"Wilder Schreihals"
zombieScreamerRadiated,"Verstrahlter Schreihals"
zombieSkateboarder,"Infizierter Mann"
zombieSkateboarderFeral,"Wilder Mann"
zombieSkateboarderRadiated,"Verstrahlter Mann"
zombieLumberjack,"Infizierter Holzfäller"
zombieLumberjackFeral,"Wilder Holzfäller"
zombieLumberjackRadiated,"Verstrahlter Holzfäller"
zombieSoldier,"Infizierter Soldat"
zombieSoldierFeral,"Wilder Soldat"
zombieSoldierRadiated,"Verstrahlter Soldat"
zombieSpider,"Jäger Zombie"
zombieSpiderFeral,"Wilder Jäger Zombie"
zombieSpiderRadiated,"Verstrahlter Jäger Zombie"
zombieSteve,"Infizierter Mann"
zombieSteveFeral,"Wilder Mann"
zombieSteveRadiated,"Verstrahlter Mann"
zombieTomClark,"Infizierter Junge"
zombieTomClarkFeral,"Wilder Junge"
zombieTomClarkRadiated,"Verstrahlter Junge"
zombieWightFeral,"Wilder Mutant"
zombieWightRadiated,"Verstrahlter Mutant"
zombieUtilityWorker,"Infizierter Bauarbeiter"
zombieUtilityWorkerFeral,"Wilder Bauarbeiter"
zombieUtilityWorkerRadiated,"Verstrahlter Bauarbeiter"
zombieYo,"Infizierter Mann"
zombieYoFeral,"Wilder Mann"
zombieYoRadiated,"Verstrahlter Mann"
adhesive,"Klebstoff"
branch,"Zweig"
brass,"Messing"
clay,"Lehm"
cloth,"Stoff"
coal,"Kohle"
copper,"Kupfer"
cotton,"Baumwolle"
electronics,"Elektronik"
feather,"Federn"
fiber,"Pflanzenfasern"
glass,"Glas"
gold,"Gold"
iron,"Eisen"
knowledge,"Fertigskeitsnotizen"
lead,"Blei"
leather,"Leder"
misc,"Sonstiges"
meleeToolChainsawParts,"Motorteile"
organic,"Organisch"
paper,"Papier"
plastic,"Kunststoff"
plants,"Pflanzen"
potassium,"Kaliumnitrat"
research,"Forschung"
rubber,"Gummi"
sand,"Sand"
silver,"Silber"
steel,"Stahl"
stick,"Stock"
stone,"Stein"
sulfur,"Schwefel"
titanium,"Titan"
wood,"Holz"
unit_brass,"Messing"
unit_clay,"Lehm"
unit_coal,"Kohle"
unit_copper,"Kupfer"
unit_glass,"Sand"
unit_gold,"Gold"
unit_iron,"Eisen"
unit_lead,"Blei"
unit_silver,"Silber"
unit_stone,"Stein"
unit_titanium,"Titan"
ammo9mmBulletBall,"9mm Munition"
ammo9mmBulletBallDesc,"9mm [decea3]Standard[-] Munition, üblicherweise verwendet von [decea3]Kleine Handfeuerwaffen[-]."
ammo9mmBulletHP,"9mm Kaliber (HP)"
ammo9mmBulletHPDesc,"9mm [decea3]Hohlspitz[-] Munition, eine alternative Munition für [decea3]Handfeuerwaffen[-], die eine bessere Durchschlagskraft und Genauigkeit aufweist. In den meisten Gebieten verboten."
ammo9mmBulletAP,"9mm Kaliber (AP)"
ammo9mmBulletAPDesc,"9mm [decea3]Panzerbrechend[-] Munition, eine alternative Munition für [decea3]Handfeuerwaffen[-] mit viel höherer Durchschlagskraft im Vergleich zu Standard-Munition."
ammo44MagnumBulletBall,".44 Cal Kaliber"
ammo44MagnumBulletBallDesc,".44 Cal [decea3]Standard[-] Munition, wird häufig von [decea3]großen Handfeuerwaffen[-] verwendet."
ammo44MagnumBulletHP,".44 Cal Kaliber (HP)"
ammo44MagnumBulletHPDesc,".44 Cal [decea3]Hohlspitz[-] Munition, eine alternative Munition für [decea3]große Handfeuerwaffen[-], die eine bessere Durchschlagskraft und Genauigkeit aufweist. In den meisten Gebieten verboten."
ammo44MagnumBulletAP,"Kaliber .44 (AP)"
ammo44MagnumBulletAPDesc,".44 Cal [decea3]Panzerbrechend[-] Munition, eine alternative Munition für [decea3]große Handfeuerwaffen[-] mit viel höherer Durchschlagskraft im Vergleich zu StandardMunition."
ammo762mmBulletBall,"7.62mm Kaliber"
ammo762mmBulletBallDesc,"7,62mm [decea3]Standard[-] Geschosse, die häufig von [decea3]Sturmgewehren[-] verwendet werden."
ammo762mmBulletHP,"7,62-mm-Kaliber (HP)"
ammo762mmBulletHPDesc,"7.62mm [decea3]Hohlspitz[-] Munition, eine alternative Munition für [decea3]Sturmgewehren[-], die eine bessere Durchschlagskraft und Genauigkeit aufweist. In den meisten Gebieten verboten."
ammo762mmBulletAP,"7,62mm Kaliber (AP)"
ammo762mmBulletAPDesc,"7.62mm [decea3]Panzerbrechend[-] Munition, eine alternative Munition für [decea3]Sturmgewehren[-] mit viel höherer Durchschlagskraft im Vergleich zu Standardmunition."
ammoBlunderbuss,"Donnerbüchsen-Munition"
ammoBlunderbussDesc,"Donnerbüchsen-Munition kann mit Papier und Schießpulver sowie kleinen Steinen hergestellt werden."
ammoArrowExploding,"Sprengpfeil"
ammoArrowFlaming,"Feuerpfeil"
ammoArrowIron,"Eisenpfeil"
ammoArrowSteelAP,"Stahlpfeil"
ammoArrowStone,"Steinpfeil"
ammoCrossbowBoltFlaming,"Feuerbolzen"
ammoCrossbowBoltExploding,"Sprengbolzen"
ammoCrossbowBoltExplodingDesc,"Eine grobe Lösung, die eine starke Wirkung hat. Kompatibel mit den meisten Standard-Armbrüsten"
ammoCrossbowBoltIron,"Eisenbolzen"
ammoCrossbowBoltIronDesc,"Bolzen mit Eisenspitze, der mit den meisten Standard-Armbrüsten kompatibel ist."
ammoCrossbowBoltSteelAP,"Stahlbolzen"
ammoCrossbowBoltSteelAPDesc,"Bolzen mit Stahlspitze, kompatibel mit den meisten Standard-Armbrüsten."
ammoCrossbowBoltStone,"Steinbolzen, kompatibel mit den meisten Standard-Armbrüsten."
ammoCrossbowBoltStoneDesc,"Steinbolzen, kompatibel mit den meisten Standard-Armbrüsten."
ammoGasCanSchematic,"Benzinkanister"
ammoGasCanSchematicDesc,"Anleitung zur Herstellung von [decea3]Benzin[-]."
ammoRocketHE,"Rakete"
ammoRocketHEDesc,"Wird als Raketenwerfer-Munition verwendet."
ammoRocketFrag,"Frag-Rakete"
ammoRocketFragDesc,"Fragmentationsrakete, wird als Raketenwerfermunition verwendet."
ammoShotgunShell,"Schrotflinten-Kugeln"
ammoShotgunShellDesc,"12x50-mm-Geschoss, die gebräuchlichste Flintenmunition. Das Geschoss besteht aus mehreren kleinen Kügelchen, die das Ziel treffen."
ammoShotgunSlug,"Schrotflinten-Geschoss"
ammoShotgunSlugDesc,"12x50-mm-Geschoss, verursacht mehr Schaden als Schrotflinten-Kugeln. Das Geschoss besteht aus einem einzigen Bleigeschoss (Flintenlaufgeschoss)."
armorClothGroupDesc,"Keine Auswirkung auf die Beweglichkeit, gewisser Schadensschutz, kein Wetterschutz."
armorLeatherGroupDesc,"Mäßige Auswirkung auf die Beweglichkeit, etwas Schadensschutz, kein Wetterschutz."
armorMilitaryGroupDesc,"Mäßige Auswirkung auf die Beweglichkeit, gewisser Schadensschutz, kein Wetterschutz."
armorMiningHelmetDesc,"Bietet guten Schutz und wird oft bei der Arbeit in Minen oder auf Baustellen benötigt."
armorHeavyGroupDesc,"Hohe Auswirkung auf die Beweglichkeit, guter Schutz vor Schäden, kein Wetterschutz."
armorSteelGroupDesc,"Hohe Auswirkung auf die Beweglichkeit, guter Schutz vor Schaden, kein Wetterschutz."
autoTurretSchematic,"SMG-Geschützturm"
batterybankSchematic,"Batteriebank"
bladeTrapSchematic,"Klingenfalle"
bucketEmpty,"Leerer Eimer"
bucketEmptyDesc,"Zum Transport von Wasser geeignet.\n[decea3] Wasser aus Flüssen, Seen oder Pools sind allerdings zu giftig, um sie zu verwenden."
carBattery,"Bleibatterie"
cementMixerSchematic,"Zementmischer"
chemistryStationSchematic,"Chemiestation"
dartTrapSchematic,"Dart-Falle"
drinkJarBeerSchematic,"Bier"
drinkJarCoffeeSchematic,"Kaffee"
drinkJarEmpty,"Leeres Glas"
drinkJarEmptyDesc,"Zum Transport von Wasser geeignet.\n[decea3] Wasser aus Flüssen, Seen oder Pools sind allerdings zu giftig, um sie zu verwenden."
drinkJarGoldenRodTeaSchematic,"Goldrutentee"
drinkJarGrandpasAwesomeSauceSchematic,"Irre Soße"
drinkJarGrandpasLearningElixirSchematic,"Lern-Elixier"
drinkJarGrandpasMoonshineSchematic,"Mondschein-Wasser"
drinkJarPureMineralWater,"Mineralwasser"
drinkJarRedTeaSchematic,"Roter Tee"
drinkYuccaJuiceSmoothieSchematic,"Yucca-Saft Smoothie"
drugAntibioticsSchematic,"Antibiotika"
drugHerbalAntibioticsSchematic,"Natürliches Antibiotika"
drugJailBreakers,"Gefängnisausbrecher"
drugJailBreakersDesc,"Verbessert vorübergehend Eure Fertigkeit im Schlossknacken und die Haltbarkeit Eures Werkzeugs um [decea3]200%[-]."
electricfencepostSchematic,"Elektrischer Zaunpfahl"
electrictimerrelaySchematic,"Elektrisches Zeitrelais"
foodBakedPotatoSchematic,"Gebackene Kartoffel"
foodBaconAndEggsSchematic,"Speck mit Eiern"
foodBlueberryPieSchematic,"Blaubeerkuchen"
foodBoiledMeatSchematic,"Gekochtes Fleisch"
foodCanShamSchematic,"Dose Sham"
foodChiliDogSchematic,"Chili-Hotdog"
foodCornBreadSchematic,"Maisbrot"
foodFishTacosSchematic,"Fisch-Tacos"
foodGrilledMeatSchematic,"Gegrilltes Fleisch"
foodGumboStewSchematic,"Gumbo-Eintopf"
foodHoboStewSchematic,"Landstreicher-Eintopf"
foodMeatStewSchematic,"Fleischeintopf"
foodPumpkinBreadSchematic,"Kürbis-Brot"
foodPumpkinCheesecakeSchematic,"Kürbis-Käsekuchen"
foodPumpkinPieSchematic,"Kürbiskuchen"
foodShepardsPieSchematic,"Shepard's Pie"
foodSpaghettiSchematic,"Spaghetti"
foodSteakAndPotatoSchematic,"Steak-Kartoffel-Gericht"
foodVegetableStewSchematic,"Gemüseeintopf"
forgeSchematic,"Schmelzofen"
foodTunaFishGravyToastSchematic,"Toast mit Thunfischsoße"
generatorbankSchematic,"Grundlagen der Elektronik"
gunPistol,"Pistole"
gunPistolDesc,"Eine einfache Pistole, die von Kiloton Ballistics für den normalen zivilen Gebrauch entwickelt wurde. Benötigt ein Magazin, um zu funktionieren."
gunBotT1JunkSledge,"Vorschlaghammer-Turm"
gunBotT1JunkSledgeDesc,"Roboter-Nahkampfturm. Kann mit der Sekundäraktion eingesetzt werden."
gunBotT1JunkSledgeSchematic,"Vorschlaghammer-Turm"
gunBotT2JunkTurret,"Schrott-Geschützturm"
gunBotT2JunkTurretDesc,"Kann als Geschütz verwendet oder auf den Boden gestellt werden."
gunBotT2JunkTurretSchematic,"Schrott-Geschützturm"
gunBotT3JunkDrone,"Schrott-Drohne"
gunBotT3JunkDroneDesc,"Programmiert als treuer Begleiter in der Apokalypse. Sie kann dir helfen, einige Gegenstände zu tragen oder dich zu heilen."
gunBotT3JunkDroneSchematic,"Schrott-Drohne"
gunBowT0PrimitiveBow,"Primitiver Bogen"
gunBowT0PrimitiveBowDesc,"Verursacht nicht viel Schaden, ist aber eine gute Einstiegs-Fernkampfwaffe."
gunBowT1WoodenBow,"Jagdbogen"
gunBowT1WoodenBowDesc,"Gut zum Jagen und Töten"
gunBowT1WoodenBowSchematic,"Jagdbogen"
gunBowT3CompoundBow,"Compound-Bogen"
gunBowT3CompoundBowDesc,"Verursacht mehr Schaden und ist präziser als normale Bögen"
gunBowT3CompoundBowSchematic,"Compound-Bogen"
gunBowT1IronCrossbow,"Eisenarmbrust"
gunBowT1IronCrossbowDesc,"Langsam beim Nachladen, verursacht aber mehr Schaden als Bögen und kann unter Wasser abgefeuert werden."
gunBowT1IronCrossbowSchematic,"Eisenarmbrust"
gunBowT3CompoundCrossbowSchematic,"Compound-Armbrust"
gunExplosivesT3RocketLauncher,"Raketenwerfer"
gunExplosivesT3RocketLauncherDesc,"Kann Hölle und Chaos verursachen"
gunExplosivesT3RocketLauncherSchematic,"Raketenwerfer"
gunHandgunT0PipePistol,"Rostiger Revolver"
gunHandgunT0PipePistolDesc,"Überraschenderweise immer noch funktionstüchtig."
gunHandgunT0PipePistolBlueprint,"Rostiger Revolver"
gunHandgunT1Pistol,"Bengal M9"
gunHandgunT1PistolDesc,"Standard-Ausgabe-Pistole"
gunHandgunT1PistolSchematic,"Bengal M9"
gunHandgunT2Magnum44,"Magnum .44"
gunHandgunT2Magnum44Desc,"Ein sehr leistungsstarker, aber lauter Revolver"
gunHandgunT2Magnum44Schematic,"Magnum .44"
gunHandgunT3DesertVulture,"Desert Vulture"
gunHandgunT3DesertVultureDesc,"Schwere 44 Cal Handfeuerwaffe"
gunHandgunT3DesertVultureSchematic,"Desert Vulture"
gunHandgunT3SMG5,"SMG-5"
gunHandgunT3SMG5Desc,"Standard-Maschinenpistole"
gunHandgunT3SMG5Schematic,"SMG-5"
gunMGT0PipeMachineGun,"Selbstgebautes Maschinengewehr"
gunMGT0PipeMachineGunDesc,"Hergestellt aus Altmetall und Rohren, die überraschenderweise nicht in die Luft fliegen."
gunMGT0PipeMachineGunBlueprint,"Selbstgebautes Maschinengewehr"
gunMGT1AK47,"AK-47"
gunMGT1AK47Desc,"Trotz ihrer Einfachheit kann diese Waffe in den richtigen Händen sehr mächtig sein."
gunMGT1AK47Schematic,"AK-47"
gunMGT2TacticalAR,"Taktisches Sturmgewehr"
gunMGT2TacticalARDesc,"Militärisches Sturmgewehr"
gunMGT2TacticalARSchematic,"Taktisches Sturmgewehr"
gunMGT3M60,"M60 Maschinengewehr"
gunMGT3M60Desc,"Schwerfällig in der Handhabung, aber hervorragend im automatischen Schießen"
gunMGT3M60Schematic,"M60-Maschinengewehr"
gunRifleT0PipeRifle,"Selbstgebautes Gewehr"
gunRifleT0PipeRifleDesc,"Sehr primitive Feuerwaffe."
gunRifleT0PipeRifleBlueprint,"Selbstgebautes Gewehr"
gunRifleT1HuntingRifle,"Jagdgewehr"
gunRifleT1HuntingRifleDesc,"Die bevorzugte Fernkampfwaffe mancher Landwirte, da sie eine Kombination aus Einfachheit und Feuerkraft bietet."
gunRifleT1HuntingRifleSchematic,"Jagdgewehr"
gunRifleT2LeverActionRifle,"Unterhebelrepetierer"
gunRifleT2LeverActionRifleDesc,"Mit dieser Waffe müssen die Schüsse sitzen."
gunRifleT2LeverActionRifleSchematic,"Unterhebelrepetierer"
gunRifleT2MarksmanRifle,"DMR Schützengewehr"
gunRifleT2MarksmanRifleDesc,"Mittelklasse-Gewehr mit guter Feuerkraft"
gunRifleT3SniperRifle,"Scharfschützengewehr"
gunRifleT3SniperRifleDesc,"Hochpräzises Gewehr, das sich hervorragend zum Scharfschießen auf große Entfernungen eignet."
gunRifleT3SniperRifleSchematic,"Scharfschützengewehr"
gunShotgunT0PipeShotgun,"Selbstgebaute Schrotflinte"
gunShotgunT0PipeShotgunDesc,"Primitive Schusswaffe mit kurzer Reichweite, effektiv auf sehr kurze Distanz."
gunShotgunT0PipeShotgunBlueprint,"Selbstgebaute Schrotflinte"
gunShotgunT1DoubleBarrel,"Doppelläufige Schrotflinte"
gunShotgunT1DoubleBarrelDesc,"Hervorragend geeignet für Gemetzel aus nächster Nähe"
gunShotgunT1DoubleBarrelSchematic,"Doppelläufige Schrotflinte"
gunShotgunT2PumpShotgun,"Pumpgun"
gunShotgunT2PumpShotgunDesc,"Langläufige Schrotflinte"
gunShotgunT2PumpShotgunSchematic,"Pumpgun"
gunShotgunT3AutoShotgun,"Automatische Schrotflinte"
gunShotgunT3AutoShotgunDesc,"Eine halbautomatische Schrotflinte ist eine sehr zerstörerische Waffe für kurze Distanzen, die aus allem, was sich ihr in den Weg stellt, Hackfleisch machen kann."
gunShotgunT3AutoShotgunSchematic,"Automatische Schrotflinte"
leatherPoncho,"Poncho"
leatherPonchoDesc,"Dieser Poncho bietet ein wenig Schutz und hilft Ihnen, heißes Wetter zu überstehen."
lightPlayerNoPowerGroupDesc,"Benötigt keine externe Stromquelle"
medicalBloodDrawKit,"Blutentnahme-Kit"
medicalBloodDrawKitDesc,"Verwende Blutentnahmekits, um Blutbeutel herzustellen. Diese werden zur Herstellung von Erste-Hilfe-Kästen verwendet."
medicalFirstAidBandageSchematic,"Erste-Hilfe-Verband"
medicalFirstAidKitSchematic,"Verbandskasten"
medicalPlasterCastSchematic,"Gipsverband"
meleeToolAxeT1IronFireaxe,"Eiserne Feueraxt"
meleeToolAxeT1IronFireaxeDesc,"[decea3]+200%[-] mehr Schaden gegen Bäume."
meleeToolAxeT2SteelAxe,"Stahlaxt"
