Key,schinese
researchSystemTip_title,UL / 制作 / 研究
researchSystemTip,你可以通过研究系统解锁新的制作配方和制作更优质物品的能力。\n\n要开始研究新的配方，你首先必须制作一个[decea3]研究站[-]，在那里你可以消耗[decea3]研究数据[-]以及其他所需的材料来解锁新的配方。\n\n为了制作更高品质的物品，你必须建造一个[decea3]维修站[-]，在那里你可以修理物品，并提升它们的品质。要升级更高等级和/或品质的物品，你必须使用更高等级的[decea3]维修站[-]。 \n\n[decea3] 研究数据 [-] 可以通过分解设计图、挑战任务纸条或宝藏地图获得。通过在 [decea3] 拆解站[-]分解某些物品，可以获得额外的 [decea3] 研究数据[-] 。
vehicleFeatureToggleTip_title,UL / 载具 / 附加功能开关
vehicleFeatureToggleTip,某些车辆具有附加交互功能，可通过按[decea3][Q][-]或[decea3][R][-]键进行切换，例如，警灯或出租车顶灯可以用[decea3][Q][-]键打开/关闭，警笛也可以用[decea3][R][-]打开/关闭。\n\n你可以在以下位置配置不同的默认键绑定：\n[decea3]选项->控制->载具->打开/关闭顶灯或警笛[-]。
journalNutrition_title,营养
journalNutrition,在废土上保持健康并非易事，因此，以下是一些入门要点：\n\n你必须平衡四种主要营养素：脂肪，碳水化合物，蛋白质和维生素。\n\n前三个决定你的整体能量水平（卡路里）。维生素决定你的免疫系统的力量。\n\n只要卡路里保持在0以上，你就不会死亡，拥有0维生素并不是世界末日，但是你将更容易感染疾病。\n\n保持所有4种营养素在75％以上将被动地提升健康状况。如果4种营养素中的任何一种低于25％，你就会失去健康。\n\n健康不能低于0，每个健康点都会带来以下好处：\n-最大生命值加1 \n-最大体力值加1 \n-最大负重加1 \n-经验值获取增加1％\n\n如果你的身体有0卡路里，那么你就快死了：\n-任何被动的生命值再生都将被停止\n-每分钟失去2点生命值\n-体力再生速度减慢\n-体力再生降低最大可用体力\n-赶紧去找吃的吧。
journalTutorialQuest_title,UL / 生存指南
journalTutorialQuest,欢迎来到[decea3]亡灵遗产[-]！\n\n\n你的工具栏中有一个[decea3]逃生包[-]，里面包含一些新手装备，把它放在地上打开来看看都有些什么。\n\n[decea3]生存指南[-]任务将帮助你学习[decea3]亡灵遗产[-]中收集和制作的基础知识。\n\n[decea3]重要！[-]\n\n查看日志中[decea3]UL[-]相关条目，它们将为你介绍[decea3]亡灵遗产[-]中一些更复杂的机制。
journalTutorialQuestSkipped_title,UL / 生存指南
journalTutorialQuestSkipped,欢迎来到[decea3]亡灵遗产[-]！\n\n\n你的工具栏中有一个[decea3]逃生包[-]，里面包含一些新手装备，把它放在地上打开来看看都有些什么。\n\n[decea3]重要！[-]\n\n查看日志中[decea3]UL[-]相关条目，它们将为你介绍[decea3]亡灵遗产[-]中一些更复杂的机制。
animalBossGrace,变异的大野猪
animalCoyote,郊狼
animalDireWolf,恶狼
animalMountainLion,山狮
animalSnake,蛇
animalWolf,狼
animalZombieBear,被感染的熊
animalZombieVultureRadiated,辐射的丧尸秃鹫
zombieArlene,腐烂的女孩
zombieArleneFeral,凶残的腐烂女孩
zombieArleneRadiated,被辐射的腐烂女孩
zombieBiker,丧尸摩托车手
zombieBikerFeral,凶残的丧尸摩托车手
zombieBikerRadiated,被辐射的丧尸摩托车手
zombieBoe,感染的丧尸
zombieBoeFeral,凶残的丧尸
zombieBoeRadiated,被辐射的丧尸
zombieBurnt,被灼烧者丧尸
zombieBurntFeral,凶残的被灼烧者丧尸
zombieBurntRadiated,被辐射的被灼烧者丧尸
zombieBusinessMan,感染的商人
zombieBusinessManFeral,凶残的商人
zombieBusinessManRadiated,被辐射的商人
zombieDarlene,感染的女人
zombieDarleneFeral,凶残的女人
zombieDarleneRadiated,被辐射的女人
zombieDemolition,爆破丧尸
zombieFatCop,感染的警察
zombieFatCopFeral,凶残的感染警察
zombieFatCopRadiated,被辐射的感染警察
zombieFatHawaiian,失智的游客
zombieFatHawaiianFeral,凶残的游客
zombieFatHawaiianRadiated,被辐射的游客
zombieFemaleFat,贪婪的丧尸
zombieFemaleFatFeral,凶残的贪婪丧尸
zombieFemaleFatRadiated,被辐射的贪婪丧尸
zombieJanitor,看门人丧尸
zombieJanitorFeral,凶残的看门人丧尸
zombieJanitorRadiated,被辐射的看门人丧尸
zombieJoe,不死的干尸
zombieJoeFeral,凶残的干尸
zombieJoeRadiated,被辐射的干尸
zombieLab,感染的科学家
zombieLabFeral,凶残的科学家
zombieLabRadiated,被辐射的科学家
zombieMaleHazmat,穿着防化服的丧尸徒步者
zombieMaleHazmatFeral,凶残的穿着防化服的丧尸徒步者
zombieMaleHazmatRadiated,被辐射的穿着防化服的丧尸徒步者
zombieMarlene,感染的女人
zombieMarleneFeral,凶残的女人
zombieMarleneRadiated,被辐射的女人
zombieMoe,臃肿的徒步者
zombieMoeFeral,凶残的臃肿徒步者
zombieMoeRadiated,被辐射的臃肿徒步者
zombieNurse,躁动的护士
zombieNurseFeral,凶残的瘟疫感染护士
zombieNurseRadiated,被辐射的护士
zombieScreamer,尖叫丧尸
zombieScreamerFeral,凶残的尖叫丧尸
zombieScreamerRadiated,被辐射的尖叫丧尸
zombieSkateboarder,腐烂的僵尸
zombieSkateboarderFeral,凶残的腐烂僵尸
zombieSkateboarderRadiated,被辐射的腐烂僵尸
zombieLumberjack,感染的伐木工
zombieLumberjackFeral,凶残的伐木工
zombieLumberjackRadiated,被辐射的伐木工
zombieSoldier,感染的士兵
zombieSoldierFeral,凶残的士兵
zombieSoldierRadiated,被辐射的士兵
zombieSpider,猎人丧尸
zombieSpiderFeral,凶残的猎人丧尸
zombieSpiderRadiated,被辐射的猎人丧尸
zombieSteve,行尸走肉
zombieSteveFeral,凶残的行尸走肉
zombieSteveRadiated,被辐射的行尸走肉
zombieTomClark,躁动的徒步者
zombieTomClarkFeral,凶残的徒步者
zombieTomClarkRadiated,被辐射的徒步者
zombieWightFeral,凶残的怀特
zombieWightRadiated,被辐射的怀特
zombieUtilityWorker,堕落的公用事业工人
zombieUtilityWorkerFeral,凶残的公用事业工人
zombieUtilityWorkerRadiated,被辐射的公用事业工人
zombieYo,行走的僵尸
zombieYoFeral,凶残的僵尸
zombieYoRadiated,被辐射的僵尸
adhesive,粘合剂
branch,树枝
brass,黄铜
clay,粘土
cloth,布
coal,煤炭
copper,铜
cotton,棉
electronics,电子产品
feather,羽毛
fiber,植物纤维
glass,玻璃
gold,金
iron,铁
knowledge,技能笔记
lead,铅
leather,皮革
misc,其他
meleeToolChainsawParts,电动工具零件
organic,有机物
paper,纸
plastic,塑料
plants,植物
potassium,硝酸钾
research,研究
rubber,橡胶
sand,砂
silver,银
steel,钢
stick,木棍
stone,石头
sulfur,硫磺
titanium,钛
wood,木头
unit_brass,黄铜
unit_clay,粘土
unit_coal,煤炭
unit_copper,铜
unit_glass,砂
unit_gold,金
unit_iron,铁
unit_lead,铅
unit_silver,银
unit_stone,石头
unit_titanium,钛
ammo9mmBulletBall,9mm子弹
ammo9mmBulletBallDesc,9毫米[decea3]标准[-]子弹，通常由[decea3] 小口径手枪 [-]使用。
ammo9mmBulletHP,9mm子弹（空心）
ammo9mmBulletHPDesc,9毫米[decea3]空心[-]子弹，是[decea3]小口径手枪[-]的替代弹药，具有更好的穿透力和准确性。在大多数地区都被禁止。
ammo9mmBulletAP,9mm子弹（穿甲）
ammo9mmBulletAPDesc,9毫米[decea3]穿甲[-]子弹，是[decea3]小口径手枪[-]的替代弹药，具有比标准弹药更高的穿透力。
ammo44MagnumBulletBall,.44口径子弹
ammo44MagnumBulletBallDesc,.44 口径 [decea3]标准[-]子弹，通常由[decea3]大口径手枪[-]使用。
ammo44MagnumBulletHP,.44口径子弹（空心）
ammo44MagnumBulletHPDesc,.44 口径 [decea3]空心[-]子弹，[decea3]大口径手枪[-]的替代弹药，具有更好的穿透力和准确性。在大多数地区都被禁止。
ammo44MagnumBulletAP,.44口径子弹（穿甲）
ammo44MagnumBulletAPDesc,.44 口径 [decea3]穿甲[-]子弹，是[decea3]大口径手枪[-]的替代弹药，具有比标准弹药更高的穿透力。
ammo762mmBulletBall,7.62mm子弹
ammo762mmBulletBallDesc,7.62毫米[decea3]标准[-]子弹，通常由[decea3]突击步枪[-]使用。
ammo762mmBulletHP,7.62mm子弹（空心）
ammo762mmBulletHPDesc,7.62毫米[decea3]空心[-]子弹，是[decea3]突击步枪[-]的替代弹药，具有更好的穿透力和准确性。在大多数地区都被禁止。
ammo762mmBulletAP,7.62mm子弹（穿甲）
ammo762mmBulletAPDesc,7.62毫米[decea3]穿甲[-]子弹，是[decea3]突击步枪[-]的替代弹药，具有比标准弹药更高的穿透力。
ammoBlunderbuss,雷筒子弹
ammoBlunderbussDesc,雷筒子弹可以用纸和火药加上小石头制成。
ammoArrowExploding,箭（爆炸）
ammoArrowFlaming,箭（火焰）
ammoArrowIron,箭（铁）
ammoArrowSteelAP,箭（钢）
ammoArrowStone,箭（石头）
ammoCrossbowBoltFlaming,弩箭（火焰）
ammoCrossbowBoltExploding,弩箭（爆炸）
ammoCrossbowBoltExplodingDesc,简单粗暴，重拳出击。适用大多数标准弩
ammoCrossbowBoltIron,弩箭（铁）
ammoCrossbowBoltIronDesc,铁制箭头，适用大多数标准弩。
ammoCrossbowBoltSteelAP,弩箭（钢）
ammoCrossbowBoltSteelAPDesc,钢制箭头，适用大多数标准弩。
ammoCrossbowBoltStone,弩箭（石头）
ammoCrossbowBoltStoneDesc,石制箭头，适用大多数标准弩。
ammoGasCanSchematic,汽油
ammoGasCanSchematicDesc,有关如何制作[decea3]汽油[-]的说明。
ammoRocketHE,火箭弹
ammoRocketHEDesc,用作火箭发射弹药。
ammoRocketFrag,破片火箭弹
ammoRocketFragDesc,破片火箭弹，用作火箭发射弹药。
ammoShotgunShell,霰弹
ammoShotgunShellDesc,12x50mm弹壳，最常见的霰弹枪弹药。弹丸由多个可击中目标的小颗粒组成。
ammoShotgunSlug,霰弹块
ammoShotgunSlugDesc,12x50mm弹头，比标准霰弹造成更大的伤害。弹丸由单个铅弹（弹头）组成。
armorClothGroupDesc,不影响移动能力，有一些伤害防护，没有天气防护。
armorLeatherGroupDesc,会影响移动能力，有一些伤害防护，没有天气防护。
armorMilitaryGroupDesc,会影响移动能力，有一些伤害防护，没有天气防护。
armorMiningHelmetDesc,提供良好的防护，通常需要在矿井或建筑工地工作时配备。
armorHeavyGroupDesc,非常影响移动能力，良好的伤害防护，没有天气防护。
armorSteelGroupDesc,非常影响移动能力，良好的伤害防护，没有天气防护。
autoTurretSchematic,SMG自动炮塔
batterybankSchematic,电池组
bladeTrapSchematic,刀片陷阱
bucketEmpty,空桶
bucketEmptyDesc,可以用来装水。[decea3]你不能从河流、湖泊或游泳池收集水，它的毒性太大，不能用于任何用途。[-]
carBattery,铅蓄电池
cementMixerSchematic,水泥搅拌器
chemistryStationSchematic,化学站
dartTrapSchematic,飞镖陷阱
drinkJarBeerSchematic,啤酒
drinkJarCoffeeSchematic,咖啡
drinkJarEmpty,空罐
drinkJarEmptyDesc,可以用来装水。[decea3]你不能从河流、湖泊或游泳池收集水，它的毒性太大，不能用于任何用途。[-]
drinkJarGoldenRodTeaSchematic,秋麒麟茶
drinkJarGrandpasAwesomeSauceSchematic,美味酱
drinkJarGrandpasLearningElixirSchematic,学习妙药
drinkJarGrandpasMoonshineSchematic,私酒
drinkJarPureMineralWater,矿泉水
drinkJarRedTeaSchematic,红茶
drinkYuccaJuiceSmoothieSchematic,丝兰汁果昔
drugAntibioticsSchematic,抗生素
drugHerbalAntibioticsSchematic,草药抗生素
drugJailBreakers,越狱者
drugJailBreakersDesc,暂时提高你的开锁技能，同时将开锁工具的耐久度提高[decea3]200%[-]。
electricfencepostSchematic,电围栏柱
electrictimerrelaySchematic,定时电继电器
foodBakedPotatoSchematic,烤土豆
foodBaconAndEggsSchematic,培根鸡蛋
foodBlueberryPieSchematic,蓝莓派
foodBoiledMeatSchematic,水煮肉
foodCanShamSchematic,山威罐头
foodChiliDogSchematic,辣狗
foodCornBreadSchematic,玉米面包
foodFishTacosSchematic,鱼肉塔可
foodGrilledMeatSchematic,烤肉
foodGumboStewSchematic,秋葵浓汤
foodHoboStewSchematic,蔬菜炖肉
foodMeatStewSchematic,炖肉
foodPumpkinBreadSchematic,南瓜面包
foodPumpkinCheesecakeSchematic,南瓜芝士蛋糕
foodPumpkinPieSchematic,南瓜派
foodShepardsPieSchematic,牧羊人派
foodSpaghettiSchematic,意大利面
foodSteakAndPotatoSchematic,牛排配土豆
foodVegetableStewSchematic,炖杂蔬
forgeSchematic,熔炉
foodTunaFishGravyToastSchematic,金枪鱼肉汁吐司
generatorbankSchematic,电学基础
gunPistol,手枪
gunPistolDesc,Kiloton Ballistics开发的标准民用手枪。需要弹匣才能使用。
gunBotT1JunkSledge,大锤炮塔
gunBotT1JunkSledgeDesc,近距离机器人近战炮塔。可用右键放置在地面上。
gunBotT1JunkSledgeSchematic,大锤炮塔
gunBotT2JunkTurret,垃圾炮塔
gunBotT2JunkTurretDesc,可以当枪使或放置在地面上
gunBotT2JunkTurretSchematic,垃圾炮塔
gunBotT3JunkDrone,垃圾无人机
gunBotT3JunkDroneDesc,在启示录中被编程为一个忠诚的伙伴。它可以帮助你携带一些物品或治疗你。
gunBotT3JunkDroneSchematic,垃圾无人机
gunBowT0PrimitiveBow,原始弓
gunBowT0PrimitiveBowDesc,伤害不大，但是是一个很好的入门级远程武器
gunBowT1WoodenBow,猎弓
gunBowT1WoodenBowDesc,适合狩猎和杀戮
gunBowT1WoodenBowSchematic,猎弓
gunBowT3CompoundBow,复合弓
gunBowT3CompoundBowDesc,与普通弓相比，造成更大的伤害并且更精确
gunBowT3CompoundBowSchematic,复合弓
gunBowT1IronCrossbow,铁弩
gunBowT1IronCrossbowDesc,装弹速度较慢，但与弓相比，它造成的伤害更大，可以在水下射击。
gunBowT1IronCrossbowSchematic,铁弩
gunBowT3CompoundCrossbowSchematic,复合弩
gunExplosivesT3RocketLauncher,火箭发射器
gunExplosivesT3RocketLauncherDesc,一发入魂
gunExplosivesT3RocketLauncherSchematic,火箭发射器
gunHandgunT0PipePistol,生锈的左轮手枪
gunHandgunT0PipePistolDesc,令人惊讶的是，它仍然可以使用。
gunHandgunT0PipePistolBlueprint,生锈的左轮手枪
gunHandgunT1Pistol,Bengal M9
gunHandgunT1PistolDesc,标准配置手枪
gunHandgunT1PistolSchematic,Bengal M9
gunHandgunT2Magnum44,马格南点44
gunHandgunT2Magnum44Desc,威力大但有巨大声响的左轮手枪
gunHandgunT2Magnum44Schematic,马格南点44
gunHandgunT3DesertVulture,沙漠秃鹰
gunHandgunT3DesertVultureDesc,重型点44口径手枪
gunHandgunT3DesertVultureSchematic,沙漠秃鹰
gunHandgunT3SMG5,SMG-5
gunHandgunT3SMG5Desc,标配冲锋枪
gunHandgunT3SMG5Schematic,SMG-5
gunMGT0PipeMachineGun,水管机枪
gunMGT0PipeMachineGunDesc,用废旧金属和水管制成，令人惊讶的是它没有被炸毁。
gunMGT0PipeMachineGunBlueprint,水管机枪
gunMGT1AK47,AK-47
gunMGT1AK47Desc,尽管它很简单，但这种武器在合适的人手中可以非常强大。
gunMGT1AK47Schematic,AK-47
gunMGT2TacticalAR,战术突击步枪
gunMGT2TacticalARDesc,军用级突击步枪
gunMGT2TacticalARSchematic,战术突击步枪
gunMGT3M60,M60机枪
gunMGT3M60Desc,机枪使用起来可能有些笨重，但在自动射击方面表现优越。
gunMGT3M60Schematic,M60机枪
gunRifleT0PipeRifle,水管步枪
gunRifleT0PipeRifleDesc,非常原始的枪械。
gunRifleT0PipeRifleBlueprint,水管步枪
gunRifleT1HuntingRifle,猎枪
gunRifleT1HuntingRifleDesc,一些农民最喜欢选择的远程武器，因为它兼具简单和火力。
gunRifleT1HuntingRifleSchematic,猎枪
gunRifleT2LeverActionRifle,杠杆式步枪
gunRifleT2LeverActionRifleDesc,火力持续性上远远超越单发步枪。
gunRifleT2LeverActionRifleSchematic,杠杆式步枪
gunRifleT2MarksmanRifle,精确射手步枪
gunRifleT2MarksmanRifleDesc,拥有不俗火力的中型步枪
gunRifleT3SniperRifle,狙击步枪
gunRifleT3SniperRifleDesc,高精度步枪是远距离狙击敌人的绝佳选择
gunRifleT3SniperRifleSchematic,狙击步枪
gunShotgunT0PipeShotgun,水管霰弹枪
gunShotgunT0PipeShotgunDesc,短程原始枪械，在非常近的距离内有效。
gunShotgunT0PipeShotgunBlueprint,水管霰弹枪
gunShotgunT1DoubleBarrel,双管霰弹枪
gunShotgunT1DoubleBarrelDesc,非常适合近距离屠杀
gunShotgunT1DoubleBarrelSchematic,双管霰弹枪
gunShotgunT2PumpShotgun,泵动式霰弹枪
gunShotgunT2PumpShotgunDesc,长管霰弹枪，使用泵装填子弹。
gunShotgunT2PumpShotgunSchematic,泵动式霰弹枪
gunShotgunT3AutoShotgun,自动霰弹枪
gunShotgunT3AutoShotgunDesc,半自动霰弹枪是一种致命的短距枪，它能把射程内的任何东西打成肉酱。
gunShotgunT3AutoShotgunSchematic,自动霰弹枪
leatherPoncho,披巾
leatherPonchoDesc,这件披巾提供了一点保护，可帮助你在炎热的天气中生存。
lightPlayerNoPowerGroupDesc,不需要外部电源
medicalBloodDrawKit,抽血套件
medicalBloodDrawKitDesc,使用抽血工具制作血袋。用于制作急救包。
medicalFirstAidBandageSchematic,急救绷带
medicalFirstAidKitSchematic,急救包
medicalPlasterCastSchematic,石膏绷带
meleeToolAxeT1IronFireaxe,铁斧
meleeToolAxeT1IronFireaxeDesc,对树木的伤害提高[decea3] 200％[-]。
meleeToolAxeT2SteelAxe,钢斧
meleeToolAxeT2SteelAxeDesc,对树木的伤害提高[decea3] 300％[-]
meleeToolAxeT3Chainsaw,链锯
meleeToolAxeT3ChainsawDesc,对树木的伤害提高[decea3] 300％[-]
meleeToolAxeT3ChainsawSchematic,链锯
meleeToolFlashlight02,手电筒
meleeToolFlashlight02Desc,可以用作光源
meleeToolHuntingKnife,猎刀
meleeToolHuntingKnifeDesc,可用于从树木上获得[decea3]树脂[-]，从仙人掌获得[decea3]丝兰果实[-]。也可用于给动物开膛破肚。
meleeToolIronSetSchematic,铁制工具
meleeToolMachete,铁砍刀
meleeToolMacheteDesc,可用于从树木上获得[decea3]树脂[-]，从仙人掌获得[decea3]丝兰果实[-]。也可用于给动物开膛破肚或砍断丧尸肢体。
meleeToolPickT1IronPickaxe,铁镐
meleeToolPickT1IronPickaxeDesc,对矿石和沥青的破坏提高[decea3] 100％[-]。适合破碎石头和收集矿物
meleeToolPickT2SteelPickaxe,钢镐
meleeToolPickT2SteelPickaxeDesc,对矿石和沥青的破坏提高[decea3] 100％[-]。非常适合破碎石头和收集矿物
meleeToolPickT3Auger,螺旋钻
meleeToolPickT3AugerDesc,对地面和沥青的破坏提高[decea3] 120％[-]。
meleeToolPickT3AugerSchematic,螺旋钻
meleeToolRepairT1ClawHammer,羊角锤
meleeToolRepairT1ClawHammerDesc,很好的物块修复和升级工具。可以用作武器
meleeToolRepairT3Nailgun,钉枪
meleeToolRepairT3NailgunDesc,最好的物块修复和升级工具。可以用作武器
meleeToolRepairT3NailgunSchematic,钉枪
meleeToolRepairT0StoneAxe,石斧
meleeToolRepairT0StoneAxeDesc,对树木的伤害提高 [decea3] 200％[-]。不是最好的武器，但对切割木材很有用。
meleeToolRepairT0TazasStoneAxe,塔扎的石斧
meleeToolRepairT0TazasStoneAxeDesc,对树木的伤害提高 [decea3] 200％[-]。阿帕奇神器，拥有它的人在战斗中所向披靡。
meleeToolSalvageT1Wrench,扳手
meleeToolSalvageT1WrenchDesc,用于拆卸汽车，空调等机械设备的工具。可以修理载具
meleeToolSalvageT1WrenchSchematic,扳手
meleeToolSalvageT2Ratchet,棘轮
meleeToolSalvageT2RatchetDesc,用于拆卸汽车，空调等机械设备的工具。可以修理载具
meleeToolSalvageT2RatchetSchematic,棘轮
meleeToolSalvageT3ImpactDriver,冲击起子
meleeToolSalvageT3ImpactDriverDesc,用于拆卸汽车，空调等机械设备的工具。可以修理载具
meleeToolSalvageT3ImpactDriverSchematic,冲击起子
meleeToolShovelIron,铁铲
meleeToolShovelIronDesc,挖掘泥土，沙子或雪的好工具。
meleeToolShovelSteel,钢铲
meleeToolShovelSteelDesc,挖掘泥土，沙子或雪的好工具。
meleeToolShovelT0StoneShovel,石铲
meleeToolShovelT0StoneShovelDesc,原始挖掘工具，如果没有更好的工具，不妨用它来收集泥土，沙子或积雪
meleeToolShovelT1IronShovel,铁铲
meleeToolShovelT1IronShovelDesc,适于挖掘泥土，沙子或雪
meleeToolShovelT2SteelShovel,钢铲
meleeToolShovelT2SteelShovelDesc,非常适合挖掘泥土，沙子或雪
meleeToolSteelSetSchematic,钢制工具
meleeToolTorch,火炬
meleeToolTorchDesc,可以用作光源。一定机率会点燃敌人
meleeWpnBatonT2StunBaton,电击棒
meleeWpnBatonT2StunBatonDesc,原始蛮力与技术的结合
meleeWpnBatonT2StunBatonSchematic,电击棒
meleeWpnBladeT0BoneKnife,骨刀
meleeWpnBladeT0BoneKnifeDesc,可用来解剖动物。攻击会导致流血
meleeWpnBladeT1HuntingKnife,猎刀
meleeWpnBladeT1HuntingKnifeDesc,可用来解剖动物。攻击会导致流血
meleeWpnBladeT1HuntingKnifeSchematic,猎刀
meleeWpnBladeT1CandyKnife,糖果刀
meleeWpnBladeT1CandyKnifeDesc,用欢乐的心情刺杀敌人!
meleeWpnBladeT3Machete,废砍刀
meleeWpnBladeT3MacheteDesc,可用来解剖动物。攻击会导致流血
meleeWpnClubT0WoodenClub,木棒
meleeWpnClubT0WoodenClubDesc,原始钝器，可用来敲碎膝盖和头骨。
meleeWpnClubT1BaseballBat,球棒
meleeWpnClubT1BaseballBatDesc,敲碎膝盖和头骨的普通钝器
meleeWpnClubT1BaseballBatSchematic,球棒
meleeWpnClubT1CandyClub,拐杖糖棍棒
meleeWpnClubT1CandyClubDesc,用欢乐的心情打倒敌人!
meleeWpnClubT3SteelClub,钢棍
meleeWpnClubT3SteelClubDesc,钢棍非常耐用，打击力强。可用来敲碎膝盖和头骨。
meleeWpnKnucklesT0LeatherKnuckles,拳手绑带
meleeWpnKnucklesT0LeatherKnucklesDesc,保护你的手，让你的出拳更有力。
meleeWpnKnucklesT1IronKnuckles,铁质拳套
meleeWpnKnucklesT1IronKnucklesDesc,保护你的手，让你的出拳更有力。
meleeWpnKnucklesT1IronKnucklesSchematic,铁质拳套
meleeWpnKnucklesT3SteelKnuckles,钢质拳套
meleeWpnKnucklesT3SteelKnucklesDesc,保护你的手，让你的出拳更有力。也可用于解剖动物
meleeWpnKnucklesT3SteelKnucklesSchematic,钢质拳套
meleeWpnBatonT0PipeBaton,水管棒
meleeWpnBatonT0PipeBatonDesc,用废旧零件和水管制作的棒子。重量较轻，但仍有相当大的威力。
meleeWpnSledgeT0StoneSledgehammer,石质大锤
meleeWpnSledgeT0StoneSledgehammerDesc,大锤是敲碎头颅最好的武器之一。
meleeWpnSledgeT1IronSledgehammer,铁质大锤
meleeWpnSledgeT1IronSledgehammerDesc,大锤是敲碎头颅最好的武器之一。
meleeWpnSledgeT1IronSledgehammerSchematic,铁质大锤
meleeWpnSledgeT3SteelSledgehammer,钢质大锤
meleeWpnSledgeT3SteelSledgehammerDesc,大锤是敲碎头颅最好的武器之一。
meleeWpnSledgeT3SteelSledgehammerSchematic,钢质大锤
meleeWpnSpearT0StoneSpear,石矛
meleeWpnSpearT0StoneSpearDesc,可以用作近战武器或作为远程武器投掷
meleeWpnSpearT1IronSpear,铁矛
meleeWpnSpearT1IronSpearDesc,可以用作近战武器或作为远程武器投掷
meleeWpnSpearT1IronSpearSchematic,铁矛
meleeWpnSpearT3SteelSpear,钢矛
meleeWpnSpearT3SteelSpearDesc,可以用作近战武器或作为远程武器投掷
modArmorAdvancedMuffledConnectorsSchematic,高级消音连接器
modArmorBandolierSchematic,护甲弹药带
modArmorCoolingMeshSchematic,散热网
modArmorCustomizedFittingsSchematic,高级护甲配件
modArmorDoubleStoragePocket,护甲双收纳口袋
modArmorDoubleStoragePocketDesc,[decea3]护甲模组[-]\n安装在头盔、胸甲、手套、裤子或靴子上时可以扩充你的物品栏容量。
modArmorDoubleStoragePocketSchematic,护甲双收纳口袋
modArmorHelmetLightSchematic,头盔灯
modArmorImpactBracingSchematic,冲击支撑
modArmorImprovedFittingsSchematic,改进的护甲配件
modArmorInsulatedLinerSchematic,隔热内衬
modArmorMuffledConnectorsSchematic,消音连接器
modArmorPlatingBasicSchematic,改进的护甲板
modArmorPlatingReinforcedSchematic,高级护甲板
modArmorStoragePocket,护甲收纳口袋
modArmorStoragePocketDesc,[decea3]护甲模组[-]\n当安装在头盔、胸甲、手套、裤子或靴子中时，可以扩大你的物品栏。
modArmorStoragePocketSchematic,护甲收纳口袋
modArmorTripleStoragePocket,护甲三收纳口袋
modArmorTripleStoragePocketDesc,[decea3]护甲模组[-]\n安装在头盔、胸甲、手套、裤子或靴子上时可以扩充你的物品栏容量。
modArmorTripleStoragePocketSchematic,护甲三收纳口袋
modArmorWaterPurifierSchematic,头盔净水器
modClothingStoragePocket,服装收纳口袋
modClothingStoragePocketDesc,[decea3]服装模组[-]\n安装在裤子、衬衫或大衣中时可扩充你的物品栏容量。
modClothingCargoStoragePocket,服装双收纳口袋
modClothingCargoStoragePocketDesc,[decea3]服装模组[-]\n安装在裤子、衬衫或大衣中时可扩充你的物品栏容量。
modFuelTankLargeSchematic,电动工具大油箱
modFuelTankSmallSchematic,电动工具小油箱
modGunBarrelExtenderSchematic,枪管延伸
modGunBipodSchematic,双脚支架
modGunBowArrowRestSchematic,箭托
modGunBowPolymerStringSchematic,复合弓弦
modGunChokeSchematic,霰弹枪喉缩
modGunCrippleEmSchematic,致残
modGunDuckbillSchematic,霰弹枪鸭嘴枪口
modGunFlashlightSchematic,武器照明
modGunForegripSchematic,前握把
modGunLaserSightSchematic,激光瞄准器
modGunMagazineExtenderSchematic,弹匣扩充
modGunMeleeBlessedMetalSchematic,异域合金套件
modGunMeleeRadRemoverSchematic,辐射去除
modGunMeleeTheHunterSchematic,猎人
modGunMuzzleBrakeSchematic,枪口制动
modGunReflexSightSchematic,反射式瞄准镜
modGunRetractingStockSchematic,收缩枪托
modGunScopeSmallSchematic,2倍镜
modGunScopeMediumSchematic,4倍镜
modGunScopeLargeSchematic,8倍镜
modGunSoundSuppressorSilencerSchematic,消声器
modGunTriggerGroupBurst3Schematic,触发器：三发点放
modGunTriggerGroupAutomaticSchematic,触发器：全自动
modGunTriggerGroupSemiSchematic,触发器：半自动
modMeleeBunkerBusterSchematic,掩体炸弹
modMeleeClubBurningShaftSchematic,燃烧杆
modMeleeClubBarbedWireSchematic,铁丝网模组
modMeleeClubMetalSpikesSchematic,金属长钉模组
modMeleeErgonomicGripSchematic,人体工学握把
modMeleeFortifyingGripSchematic,强化握把
modMeleeGraveDiggerSchematic,掘墓者
modMeleeIronBreakerSchematic,铁见愁
modMeleeSerratedBladeSchematic,锯齿刀片
modMeleeStructuralBraceSchematic,结构支撑
modMeleeTemperedBladeSchematic,钢化刀片
modMeleeWeightedHeadSchematic,重头
modMeleeWoodSplitterSchematic,劈木
modRoboticDroneArmorPlatingModSchematic,机器人无人机护甲
modRoboticDroneCargoModSchematic,机器人无人机储物扩展
modRoboticDroneHeadlampModSchematic,机器人无人机照明
modRoboticDroneMedicModSchematic,机器人无人机医疗套件
modRoboticDroneMoraleBoosterModSchematic,机器人无人机鼓舞士气
modShotgunSawedOffBarrelSchematic,削短型霰弹枪模组
modVehicleExpandedSeatSchematic,载具扩展座椅
modVehicleFuelSaverSchematic,载具节油器
modVehicleOffRoadHeadlightsSchematic,载具越野灯
modVehicleReserveFuelTank,载具备用油箱
modVehicleReserveFuelTankDesc,增加你的载具燃料储存。
